school,date,amount,sport,deal_description,is_social_media
ucla,2024,150.0,Football,Other,0
ucla,2024,25000.0,Basketball,Social Media,1
ucla,2024,350.0,Soccer,Other,0
ucla,2024,600.0,Soccer,Public Appearance,0
ucla,2024,330.0,Volleyball,Social Media,1
ucla,2024,35000.0,Gymnastics,Social Media,1
ucla,2024,73500.0,Gymnastics,Social Media,1
ucla,2024,1500.0,Softball,Social Media,1
ucla,2024,250.0,Swimming/Diving,Other,0
ucla,2024,5000.0,Football,Social Media,1
ucla,2024,47500.0,Basketball,Social Media,1
ucla,2024,5500.0,Basketball,Social Media,1
ucla,2024,15000.0,Basketball,Social Media,1
ucla,2024,500.0,Track and Field,Social Media,1
ucla,2024,400.0,Basketball,Public Appearance,0
ucla,2024,250.0,Swimming/Diving,Other,0
ucla,2024,100.0,Volleyball,Other,0
ucla,2024,200.0,Track and Field,Social Media,1
ucla,2024,250.0,Swimming/Diving,Other,0
ucla,2024,3000.0,Gymnastics,Social Media,1
ucla,2024,250000.0,Gymnastics,Social Media,1
ucla,2024,1500.0,Volleyball,Social Media,1
ucla,2024,40000.0,Football,Social Media,1
ucla,2024,40000.0,Football,Social Media,1
ucla,2024,40000.0,Football,Social Media,1
ucla,2024,150.0,Track and Field,Social Media,1
ucla,2024,1500.0,Baseball,Social Media,1
ucla,2024,2000.0,Basketball,Social Media,1
ucla,2023,5000.0,Baseball,Other,0
ucla,2024,5000.0,Track and Field,Social Media,1
ucla,2024,500.0,Gymnastics,Public Appearance,0
ucla,2023,100.0,Softball,Social Media,1
ucla,2023,6850.0,Volleyball,Other,0
ucla,2023,150.0,Track and Field,Social Media,1
ucla,2023,300.0,Football,Social Media,1
ucla,2023,20000.0,Softball,Other,0
ucla,2023,8100.0,Gymnastics,Social Media,1
ucla,2023,250.0,Track and Field,Other,0
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
ucla,2023,500.0,Football,Social Media,1
